职位,工资,经验,学历,公司规模
php开发工程师,15k-20k,3-5年,大专,50-150人
PHP开发工程师,14k-28k,3-5年,不限,15-50人
高级后端开发,20k-40k,5-10年,本科,150-500人
数据平台开发工程师,20k-30k,3-5年,本科,150-500人
运维工程师,8k-12k,1-3年,大专,15-50人
数据开发工程师,10k-20k,3-5年,本科,50-150人
大数据开发工程师,15k-25k,3-5年,大专,2000人以上
高级软件工程师 -- SRE,20k-40k,不限,本科,50-150人
高级算法研发工程师,15k-30k,不限,硕士,2000人以上
JAVA高级工程师,13k-25k,3-5年,本科,50-150人
c/c++开发工程师,15k-30k,3-5年,本科,150-500人
后台开发工程师（中级/高级/资深）,25k-50k,3-5年,本科,2000人以上
c++,10k-20k,3-5年,本科,500-2000人
高级PHP开发工程师,18k-30k,5-10年,本科,50-150人
测试工程师,9k-13k,3-5年,大专,50-150人
高级C++开发工程师,20K-35K,10年以上,本科,500-2000人
运维工程师,12k-20k,3-5年,大专,50-150人
运维工程师,8k-13k,1-3年,大专,15-50人
嵌入式软件工程师,8k-15k,不限,本科,15-50人
云端开发工程师,8k-15k,1-3年,本科,50-150人
测试工程师,8k-12k,1-3年,本科,50-150人
实施运维工程师,10k-20k,3-5年,大专,150-500人
运维工程师,10k-20k,1-3年,大专,50-150人
高级后端开发工程师,20k-40k,3-5年,本科,50-150人
c/c++开发工程师,10k-20k,3-5年,本科,150-500人
go后台工程师,15k-30k,1-3年,本科,50-150人
流媒体开发工程师,25k-50k,3-5年,本科,2000人以上
中级java工程师,10k-20k,3-5年,本科,500-2000人
Java开发工程师,16k-32k,3-5年,本科,50-150人
高级数据开发工程师/专家,25k-40k,1-3年,本科,2000人以上
AI高级研发工程师,15k-30k,1-3年,本科,15-50人
高级大数据开发工程师,25k-40k,3-5年,本科,500-2000人
爬虫工程师,8k-15k,1-3年,本科,50-150人
DevOps高级开发工程师,25k-50k,5-10年,本科,2000人以上
资深软件开发工程师,30k-55k,3-5年,本科,15-50人
中级运维工程师,10k-20k,3-5年,大专,150-500人
基础架构研发工程师,30k-60k,5-10年,本科,150-500人
技术总监,20k-30k,5-10年,本科,50-150人
计算机视觉算法工程师,20k-40k,1-3年,硕士,15-50人
大数据平台开发工程师,15k-25k,1-3年,本科,2000人以上
可靠性测试工程师,15k-25k,3-5年,本科,15-50人
c++开发工程师,10k-20k,3-5年,大专,500-2000人
