职位,工资,经验,学历,公司规模
python 实习生,3k-5k,应届毕业生,本科,少于15人
python后端开发工程师,20k-40k,5-10年,本科,500-2000人
后端Python开发,10k-15k,应届毕业生,本科,2000人以上
python实习生,3k-4k,不限,本科,500-2000人
后端开发专家（Python）,20k-30k,5-10年,本科,2000人以上
Python数据处理工程师,10k-20k,1-3年,本科,少于15人
Python讲师 (MJ001577),18k-30k,5-10年,本科,2000人以上
Python讲师,18k-30k,3-5年,本科,2000人以上
后端工程师（Python）,18k-30k,3-5年,本科,150-500人
python后端,10k-15k,3-5年,本科,2000人以上
python架构师,20k-40k,10年以上,本科,150-500人
Python测试开发工程师,15k-30k,3-5年,本科,500-2000人
服务器端开发工程师（Python/Go）,30k-45k,3-5年,本科,2000人以上
高级Python后端工程师,25k-50k,3-5年,本科,500-2000人
python后端开发工程师,20k-40k,5-10年,本科,500-2000人
Python实习生,3k-4k,应届毕业生,本科,少于15人
python数据处理工程师,20k-25k,3-5年,本科,50-150人
Python助理讲师,7k-10k,1-3年,本科,2000人以上
Python Web开发工程师,12k-20k,不限,本科,少于15人
python少儿编程讲师,12k-24k,3-5年,本科,15-50人
高级python爬虫,15k-30k,3-5年,本科,2000人以上
高级python运维开发,15k-30k,3-5年,本科,500-2000人
高级Python后端工程师,20k-30k,1-3年,本科,50-150人
少儿编程讲师（Python/全市),6k-8k,1-3年,本科,少于15人
python开发工程师（nlp方向）,10k-13k,1-3年,本科,2000人以上
数据平台研发（Python）工程师,15k-25k,3-5年,本科,50-150人
大数据Python开发工程师（全职/实习）,10k-20k,不限,本科,15-50人
Lead Python/Java Engineer,35k-44k,5-10年,本科,500-2000人
金融分析实习生（会Python优先考虑）,3k-4k,应届毕业生,本科,15-50人
python全栈工程师,25k-50k,3-5年,本科,少于15人
Python培训讲师,8k-15k,3-5年,本科,500-2000人
高级python开发（微服务中间件）,15k-30k,1-3年,本科,2000人以上
Python研发工程师（机器学习方向）,18k-35k,3-5年,本科,500-2000人
Python数据与爬虫工程师,17k-26k,1-3年,本科,15-50人
Python金融数据开发（2019应届）,15k-20k,应届毕业生,硕士,50-150人
高级软件工程师（算法/c++/go/python）,25k-50k,3-5年,本科,50-150人
c++/Python/Go......,30k-50k,3-5年,本科,500-2000人
Python金融数据开发（2019年应届）,3k-6k,应届毕业生,硕士,50-150人
编程教师（Python教研方向/信息学竞赛方向）,20k-30k,应届毕业生,不限,2000人以上
Python测试工程师,10k-15k,3-5年,本科,15-50人
python爬虫工程师,22k-40k,1-3年,本科,2000人以上
python工程师（爬虫）,15k-20k,3-5年,本科,50-150人
中高级Python爬虫工程师,20k-30k,3-5年,本科,15-50人
devops工程师(Python/Golang),20k-40k,3-5年,本科,2000人以上
Python测试工程师（自动化）,15k-25k,1-3年,本科,500-2000人
Python/C++算法工程师,13k-26k,1-3年,本科,15-50人
爬虫(python),10k-20k,1-3年,本科,500-2000人
Python爬虫工程师,15k-30k,1-3年,本科,15-50人
Python爬虫工程师,15k-30k,3-5年,本科,500-2000人
Python 工程师 (NLP方向),10k-15k,1-3年,本科,少于15人
软件测试工程师（C++、java、python）,10k-20k,1-3年,本科,150-500人
测试开发工程师（Python开发测试框架）,20k-30k,3-5年,本科,2000人以上
