职位,工资,经验,学历,公司规模
运维工程师,13k-25k,3-5年,本科,2000人以上
测试实习生,3k-5k,应届毕业生,本科,15-50人
软件测试工程师,5k-10k,1-3年,本科,50-150人
运维工程师,6k-12k,3-5年,本科,50-150人
数据挖掘工程师,20k-40k,3-5年,本科,15-50人
数据挖掘工程师—南京（有品电商）,18k-36k,3-5年,本科,2000人以上
图像处理算法开发经理,15k-30k,3-5年,本科,15-50人
软件工程师,7k-12k,应届毕业生,本科,50-150人
测试经理,15k-20k,5-10年,大专,50-150人
大数据工程师,15k-25k,3-5年,硕士,50-150人
深度学习算法工程师,12k-18k,不限,硕士,50-150人
运维主管/高级运维工程师,10k-20k,3-5年,大专,500-2000人
计算机视觉算法资深专家,60k-90k,10年以上,硕士,500-2000人
算法工程师(深度学习),20k-40k,1-3年,本科,2000人以上
AI算法工程师(校招),15k-30k,应届毕业生,本科,15-50人
运维工程师,5k-8k,应届毕业生,本科,少于15人
软件测试工程师,8k-12k,不限,硕士,50-150人
自然语言处理工程师,10k-15k,应届毕业生,硕士,2000人以上
JAVA开发工程师,10k-20k,1-3年,本科,500-2000人
系统运维工程师,8k-15k,3-5年,大专,15-50人
运维工程师,15k-30k,3-5年,本科,15-50人
移动安全工程师,15k-30k,1-3年,大专,500-2000人
运维经理,6k-9k,3-5年,本科,50-150人
算法工程师（2019届）,5k-10k,应届毕业生,硕士,500-2000人
性能/自动化测试工程师,15k-30k,3-5年,本科,2000人以上
人工智能算法工程师,15k-25k,1-3年,本科,500-2000人
亚信安全_高级C/C++开发工程师,15k-25k,3-5年,本科,2000人以上
语音合成科学家,25k-50k,1-3年,硕士,2000人以上
资深测试工程师（T4）,15k-20k,3-5年,本科,2000人以上
测试工程师-区块链方向,13k-25k,不限,本科,15-50人
java开发工程师,8k-15k,1-3年,大专,50-150人
算法工程师（南京）,10k-20k,1-3年,本科,15-50人
Java开发工程师,12k-18k,3-5年,大专,150-500人
高级算法工程师,25k-50k,3-5年,本科,2000人以上
大数据工程师,10k-20k,不限,本科,50-150人
数据库开发工程师,9k-14k,1-3年,大专,150-500人
计算机视觉算法工程师,28k-45k,1-3年,硕士,15-50人
java开发,6k-12k,1-3年,本科,150-500人
web后端开发工程师,15k-25k,1-3年,本科,500-2000人
数据库分析师,10k-20k,3-5年,大专,50-150人
后端开发实习生,3k-6k,应届毕业生,本科,150-500人
数据分析师（实习生）,4k-6k,应届毕业生,本科,50-150人
