职位,工资,经验,学历,公司规模
高级运维开发工程师,15k-30k,5-10年,本科,2000人以上
算法工程师,15k-30k,不限,硕士,150-500人
C++开发工程师,20k-40k,3-5年,不限,150-500人
高级 Go 开发工程师,25k-50k,3-5年,本科,500-2000人
C/C++开发工程师,10k-18k,1-3年,本科,150-500人
算法研发工程师（NLP）,20k-40k,不限,硕士,150-500人
研发工程师,10k-20k,不限,本科,50-150人
C++开发工程师(浦东),14k-20k,3-5年,本科,50-150人
前端开发工程师,15k-25k,3-5年,本科,50-150人
高级BI开发工程师,15k-30k,3-5年,本科,50-150人
AI芯片编译器及工具链高级研发工程师,20k-30k,不限,本科,500-2000人
算法工程师,30k-35k,3-5年,本科,150-500人
资深开发运维工程师 (Senior DevOps),20k-35k,5-10年,本科,15-50人
Java开发工程师（数据方向）,15k-26k,1-3年,本科,150-500人
测试开发工程师-广告系统,20k-26k,应届毕业生,本科,2000人以上
算法工程师,15k-30k,1-3年,硕士,50-150人
高级Java工程师,15k-25k,5-10年,本科,50-150人
测试开发工程师（中台系统）,18k-28k,3-5年,不限,2000人以上
NLP研发工程师,25k-50k,1-3年,硕士,150-500人
Java开发工程师-数据处理,18k-26k,3-5年,本科,150-500人
全栈开发工程师,18k-26k,3-5年,本科,500-2000人
Go语言开发,15k-30k,3-5年,本科,2000人以上
高级前端开发工程师,25k-35k,5-10年,本科,2000人以上
服务端技术专家,30k-45k,5-10年,本科,50-150人
C++/GO语言/研发工程师,10k-20k,1-3年,本科,50-150人
服务器开发工程师,12k-17k,1-3年,本科,500-2000人
DBA工程师,12k-24k,3-5年,本科,50-150人
运维开发工程师,15k-30k,3-5年,本科,500-2000人
Golang开发工程师,20k-35k,3-5年,本科,150-500人
研发工程师(分布式计算/离线工程）,35k-50k,3-5年,本科,2000人以上
测试开发工程师（平台）,15k-20k,1-3年,本科,500-2000人
25111A-DBA工程师,13k-26k,3-5年,本科,2000人以上
算法工程师 - NLP方向,25k-50k,3-5年,本科,500-2000人
运维开发工程师,15k-30k,3-5年,本科,500-2000人
C++工程师（导航路径规划）,15k-25k,3-5年,本科,150-500人
25116I-NLP工程师,20k-40k,1-3年,硕士,2000人以上
后端开发工程师,15k-30k,3-5年,本科,50-150人
资深运维开发工程师,15k-30k,5-10年,本科,50-150人
数据开发工程师(偏平台架构),20k-30k,1-3年,本科,50-150人
技术总监,38k-40k,5-10年,本科,50-150人
web前端开发工程师,10k-15k,1-3年,本科,500-2000人
Web前端（浦东新区）,11k-17k,3-5年,大专,150-500人
高级系统运维工程师（Linux）,20k-40k,3-5年,本科,2000人以上
中高级iOS工程师,16k-26k,3-5年,本科,50-150人
自动化测试开发工程师,15k-25k,不限,本科,500-2000人
后端开发工程师（2019校招）,15k-20k,应届毕业生,本科,500-2000人
手游客户端开发工程师-TW02-上海-00404,10k-15k,1-3年,本科,500-2000人
Web前端,15k-30k,3-5年,本科,15-50人
语音工程师,30k-60k,不限,硕士,150-500人
机器学习及算法工程师,25k-50k,3-5年,本科,50-150人
算法工程师,20k-30k,1-3年,本科,50-150人
高级PHP开发工程师,15k-25k,3-5年,本科,150-500人
前端开发工程师,15k-30k,3-5年,本科,150-500人
资深算法工程师,25k-40k,3-5年,本科,50-150人
前端开发工程师（平台开发）,15k-30k,1-3年,不限,500-2000人
25115K-测试开发工程师,13k-26k,3-5年,本科,2000人以上
前端开发工程师（UDS）,20k-30k,1-3年,本科,2000人以上
高级php开发工程师,18k-25k,3-5年,大专,50-150人
Senior后端开发工程师（系统开发工程师）,20k-40k,5-10年,本科,2000人以上
算法开发工程师,40k-65k,5-10年,硕士,500-2000人
C++开发工程师,15k-30k,3-5年,本科,2000人以上
算法研发工程师（知识图谱/搜索引擎）,20k-40k,不限,硕士,150-500人
算法工程师,15k-30k,1-3年,本科,150-500人
高级web前端,20k-40k,不限,不限,15-50人
机器学习/算法工程师,15k-25k,不限,硕士,150-500人
高级web前端开发工程师,25k-50k,5-10年,本科,500-2000人
Android开发工程师,12k-24k,1-3年,本科,150-500人
C++研发工程师-校招,10k-20k,应届毕业生,本科,2000人以上
高级前端开发工程师 （上海/北京）,15k-28k,3-5年,本科,150-500人
java开发工程师（效率工程）,20k-30k,3-5年,本科,2000人以上
建模工程师,10k-20k,1-3年,硕士,150-500人
高级/资深前端研发工程师/专家,18k-36k,5-10年,本科,500-2000人
DBA工程师,25k-35k,3-5年,本科,2000人以上
算法工程师,30k-50k,3-5年,本科,50-150人
算法工程师,15k-25k,1-3年,硕士,500-2000人
研发工程师,25k-50k,5-10年,本科,50-150人
后端研发工程师,15k-30k,3-5年,本科,50-150人
前端开发工程师,10k-15k,1-3年,本科,15-50人
java开发工程师,14k-25k,3-5年,本科,500-2000人
算法工程师,25k-50k,1-3年,本科,500-2000人
算法工程师,30k-50k,3-5年,本科,50-150人
运维开发工程师,20k-40k,3-5年,本科,15-50人
php开发工程师,15k-30k,1-3年,大专,150-500人
资深后端开发工程师,40k-70k,3-5年,本科,50-150人
资深自然语言处理研发工程师 (MJ000658),25k-50k,3-5年,硕士,500-2000人
深度学习平台研发工程师,18k-30k,5-10年,本科,150-500人
中级前端研发工程师,10k-18k,1-3年,本科,500-2000人
C++开发工程师,15k-25k,1-3年,大专,500-2000人
SEG智慧教育-OCR算法工程师,25k-50k,3-5年,硕士,2000人以上
数据科学家/算法工程师,20k-40k,3-5年,本科,50-150人
云存储高级/资深开发工程师,18k-35k,3-5年,本科,2000人以上
资深爬虫开发工程师,20k-40k,5-10年,硕士,500-2000人
资深测试开发工程师,18k-30k,3-5年,本科,2000人以上
前端开发,15k-18k,5-10年,本科,500-2000人
高级前端研发工程师,15k-28k,3-5年,本科,500-2000人
服务端开发工程师(C++),15k-25k,1-3年,本科,500-2000人
算法工程师,15k-25k,1-3年,硕士,500-2000人
高级/资深前端开发工程师（国际化业务）,20k-40k,3-5年,本科,500-2000人
Java研发工程师-校招,10k-20k,应届毕业生,本科,2000人以上
高级前端工程师,25k-50k,5-10年,本科,500-2000人
蚂蚁金服-国际业务-工程效能开发工程师,2k-4k,3-5年,本科,2000人以上
算法工程师,15k-30k,应届毕业生,本科,2000人以上
高级Android工程师,15k-22k,3-5年,本科,50-150人
［校招］前端开发工程师,8k-15k,应届毕业生,本科,500-2000人
研发工程师/专家,20k-40k,3-5年,本科,2000人以上
算法工程师,12k-17k,1-3年,本科,500-2000人
安全开发工程师,30k-50k,3-5年,本科,2000人以上
中级Java软件工程师,20k-25k,3-5年,本科,150-500人
车机自动化测试开发工程师,20k-30k,3-5年,本科,2000人以上
资深hadoop工程师,20k-40k,3-5年,本科,500-2000人
算法工程师,9k-17k,不限,本科,500-2000人
BIM软件架构师/技术专家---上海,25k-50k,5-10年,本科,500-2000人
测试开发工程师-上海创新业务,20k-30k,应届毕业生,本科,2000人以上
DBA数据库工程师(OS平台研发部）,15k-30k,3-5年,本科,500-2000人
后台开发工程师（数据方向） (MJ000156),18k-36k,3-5年,本科,150-500人
系统工程师,15k-30k,5-10年,本科,500-2000人
高级web前端开发工程师 (MJ000906),25k-35k,3-5年,本科,500-2000人
数据开发工程师,15k-30k,3-5年,本科,150-500人
算法工程师,12k-24k,不限,硕士,2000人以上
资深Golang开发工程师（主站）,20k-35k,3-5年,本科,2000人以上
PHP,7k-14k,1-3年,本科,50-150人
运维开发工程师,15k-25k,1-3年,本科,50-150人
资深存储开发工程师,20K-40K,5-10年,本科,50-150人
PHP工程师,20k-25k,3-5年,本科,15-50人
