职位,工资,经验,学历,公司规模
DBA工程师,8k-15k,1-3年,本科,500-2000人
C++开发工程师（golang方向）,9k-15k,1-3年,本科,150-500人
DBA工程师,15k-25k,3-5年,大专,500-2000人
推荐算法工程师,15k-25k,1-3年,本科,50-150人
运维开发,10k-15k,3-5年,本科,50-150人
系统运维工程师,10k-15k,3-5年,大专,150-500人
大数据开发工程师（海外）,45k-55k,3-5年,硕士,2000人以上
高级数据研发工程师-广州,20k-40k,3-5年,大专,2000人以上
运维开发工程师,10k-20k,1-3年,本科,15-50人
手游客户端开发工程师（2019校招）,8k-16k,应届毕业生,本科,150-500人
产品研发助理,5k-7k,不限,大专,150-500人
前端开发工程师,5k-7k,1-3年,大专,15-50人
go/golang开发工程师,15k-25k,3-5年,本科,150-500人
Android工程师,6k-12k,不限,不限,少于15人
lua游戏后端开发,8k-16k,1年以下,本科,150-500人
开发工程师,8k-15k,3-5年,大专,50-150人
高级java开发工程师（大数据）,10k-15k,1-3年,本科,500-2000人
运维工程师,10k-15k,3-5年,本科,15-50人
数据工程师,15k-25k,3-5年,本科,50-150人
Java技术经理,20k-25k,5-10年,不限,150-500人
运维开发工程师,10k-15k,3-5年,大专,150-500人
大数据研发工程师,12k-18k,1-3年,本科,2000人以上
算法工程师,10k-20k,1-3年,本科,15-50人
Android开发工程师,10k-20k,3-5年,本科,50-150人
Golang后端开发工程师,20k-30k,1-3年,本科,15-50人
服务端高级研发工程师/研发专家,30k-55k,3-5年,本科,50-150人
技术支持工程师,6k-12k,1-3年,本科,50-150人
数据仓库开发工程师（ETL）,15k-25k,3-5年,本科,2000人以上
技术经理,25k-35k,5-10年,本科,50-150人
Node.js 研发工程师,13k-22k,1-3年,本科,500-2000人
语义分析研发工程师(广州),25k-45k,3-5年,本科,2000人以上
自动驾驶仿真研发工程师,25k-50k,1-3年,本科,150-500人
大数据开发--研究院,13k-18k,1-3年,本科,150-500人
数据分析师（中级）,8k-15k,1-3年,本科,150-500人
高级SEO工程师,8k-15k,3-5年,大专,500-2000人
技术经理（事业二部）,18k-25k,10年以上,本科,500-2000人
大数据开发工程师,15k-25k,5-10年,本科,150-500人
高级数据工程师,25k-35k,3-5年,本科,50-150人
ETL开发工程师,15k-25k,5-10年,本科,500-2000人
运维开发工程师（后端方向）,15k-20k,1-3年,本科,2000人以上
PTBU-后端开发工程师（云存储）,15k-30k,3-5年,本科,500-2000人
运维开发工程师,2k-4k,应届毕业生,本科,150-500人
初级PHP,6k-10k,不限,大专,15-50人
小程序开发,10k-15k,3-5年,本科,15-50人
测试开发工程师,20k-39k,3-5年,硕士,150-500人
后端开发工程师（AWS方向）,8k-15k,1-3年,大专,150-500人
Ruby / Rails 工程师,8k-15k,不限,大专,50-150人
运维开发工程师,12k-22k,3-5年,本科,500-2000人
算法工程师,20k-30k,3-5年,本科,50-150人
高级cocos2dx客户端工程师,15k-25k,3-5年,大专,150-500人
golang开发工程师,15k-30k,3-5年,本科,15-50人
JAVA开发工程师,10k-20k,不限,不限,少于15人
大数据开发工程师（校招）,8k-11k,应届毕业生,本科,150-500人
广告系统架构师,25k-40k,5-10年,本科,50-150人
运维开发工程师（运维自动化方向）,16k-25k,1-3年,本科,2000人以上
资深java开发工程师,15k-30k,3-5年,本科,150-500人
高级推荐算法工程师,30k-60k,3-5年,本科,150-500人
php开发工程师,12k-18k,1-3年,本科,少于15人
大数据开发工程师,15k-25k,5-10年,本科,150-500人
前端开发工程师（JG）,25k-45k,3-5年,本科,2000人以上
高级前端开发工程师,12k-17k,5-10年,本科,500-2000人
技术培训生,3k-6k,应届毕业生,本科,50-150人
视觉算法工程师,20k-40k,1-3年,硕士,50-150人
后端开发工程师,13k-20k,1-3年,本科,15-50人
PHP开发工程师,8k-16k,1-3年,本科,50-150人
大数据开发工程师,15k-25k,1-3年,本科,150-500人
ETL 开发工程师,17k-28k,3-5年,大专,2000人以上
后端研发工程师,10k-20k,不限,本科,500-2000人
前端开发高级工程师,15k-25k,1-3年,不限,15-50人
电商数据分析师,4k-8k,1-3年,本科,2000人以上
中级php开发工程师,8k-12k,1-3年,大专,15-50人
测试开发工程师,8k-15k,1-3年,本科,2000人以上
大数据开发工程师,10k-15k,5-10年,硕士,150-500人
高级Java开发工程师,15k-25k,5-10年,本科,150-500人
大数据开发工程师,13k-18k,3-5年,本科,150-500人
高级测试开发工程师,15k-20k,5-10年,本科,150-500人
大数据运维工程师,15k-25k,1-3年,大专,150-500人
人工智能工程师（AI大数据+智能机器人）,15k-25k,3-5年,本科,500-2000人
资深java开发工程师,20k-40k,3-5年,本科,500-2000人
图像处理工程师,5k-9k,不限,本科,2000人以上
技术经理,10k-20k,3-5年,本科,15-50人
自动化运维工程师,7k-12k,1-3年,大专,150-500人
java高级开发工程师,15k-25k,5-10年,大专,500-2000人
后端开发工程师,15k-25k,1-3年,本科,15-50人
